epoch,step,loss,lr,timestamp,training_time_mins
1,34,3.604681968688965,9.990232305719939e-05,2025-09-27T14:55:43.906803,0.17338984615004543
2,68,0.7906394004821777,9.960967771506663e-05,2025-09-27T14:55:58.571662,0.16914012735002568
3,102,0.7573469877243042,9.912321891107001e-05,2025-09-27T14:56:08.227055,0.16089912173332171
4,136,0.7196729779243469,9.844486647586714e-05,2025-09-27T14:56:15.922234,0.15418881543331128
5,170,0.707953929901123,9.757729755661e-05,2025-09-27T14:56:27.158049,0.16405538480000056
6,204,0.7124007940292358,9.652393605146831e-05,2025-09-27T14:56:38.360531,0.16493141756667076
7,238,0.7047320008277893,9.528893909706784e-05,2025-09-27T14:56:47.507993,0.1604793871666819
8,272,0.7008799314498901,9.387718066217109e-05,2025-09-27T14:56:57.328541,0.1636218109833256
9,306,0.705014705657959,9.229423231234955e-05,2025-09-27T14:57:06.849801,0.15863517454999965
10,340,0.7175342440605164,9.05463412215597e-05,2025-09-27T14:57:14.661363,0.15877720711663035
11,374,0.6958866715431213,8.864040551740132e-05,2025-09-27T14:57:25.582636,0.1612893765833481
12,408,0.6831183433532715,8.658394705735965e-05,2025-09-27T14:57:36.488963,0.16065383823333831
13,442,0.67279052734375,8.438508174346992e-05,2025-09-27T14:57:45.619448,0.1565090585333261
14,476,0.6382088661193848,8.205248749255997e-05,2025-09-27T14:57:56.475555,0.15950465456668705
15,510,0.6158140301704407,7.959536998847726e-05,2025-09-27T14:58:06.186151,0.16181752893335216
16,544,0.5632557272911072,7.702342635146016e-05,2025-09-27T14:58:13.968083,0.15715264453338024
17,578,0.5103680491447449,7.434680686803477e-05,2025-09-27T14:58:23.624131,0.1608620218166834
18,612,0.43783313035964966,7.157607493247093e-05,2025-09-27T14:58:33.274604,0.16080242921664953
19,646,0.3715580105781555,6.872216535789138e-05,2025-09-27T14:58:42.921494,0.16074727120000412
20,680,0.26341360807418823,6.57963412215597e-05,2025-09-27T14:58:50.916876,0.161105840916692
21,714,0.18520456552505493,6.281014941466015e-05,2025-09-27T14:59:00.608963,0.1614987372166676
22,748,0.1491566300392151,5.977537507199321e-05,2025-09-27T14:59:10.219792,0.16015610913333755
23,782,0.10541269928216934,5.670399506143291e-05,2025-09-27T14:59:18.047720,0.15947992664999522
24,816,0.0764075443148613,5.360813071670086e-05,2025-09-27T14:59:27.713341,0.16106143179998375
25,850,0.06584092974662781,5.049999999999986e-05,2025-09-27T14:59:37.358501,0.1606983388832911
26,884,0.054850414395332336,4.7391869283298854e-05,2025-09-27T14:59:45.105437,0.15775795003331344
27,918,0.04012724384665489,4.4296004938566826e-05,2025-09-27T14:59:54.645187,0.1589624438833198
28,952,0.02274980954825878,4.122462492800652e-05,2025-09-27T15:00:04.483079,0.16392616591668532
29,986,0.026678625494241714,3.818985058533959e-05,2025-09-27T15:00:14.280740,0.16325058848336388
30,1020,0.02241729199886322,3.5203658778440024e-05,2025-09-27T15:00:21.673599,0.15593071270001627
31,1054,0.017285767942667007,3.227783464210837e-05,2025-09-27T15:00:31.223731,0.15913447931664754
32,1088,0.014051806181669235,2.9423925067528807e-05,2025-09-27T15:00:40.705541,0.1579919455999819
33,1122,0.010775398463010788,2.6653193131964994e-05,2025-09-27T15:00:48.803114,0.16121007163334677
34,1156,0.010973024182021618,2.3976573648539602e-05,2025-09-27T15:00:58.378878,0.15955035946662974
35,1190,0.00814089085906744,2.140463001152252e-05,2025-09-27T15:01:08.038164,0.1609475502999582
36,1224,0.003974668215960264,1.8947512507439797e-05,2025-09-27T15:01:15.908409,0.16043593245000617
37,1258,0.00442567327991128,1.661491825652986e-05,2025-09-27T15:01:25.549590,0.16063707959995857
38,1292,0.0062877098098397255,1.4416052942640086e-05,2025-09-27T15:01:35.176349,0.16041042085004545
39,1326,0.003519743913784623,1.2359594482598388e-05,2025-09-27T15:01:44.843764,0.16109725729996474
40,1360,0.004197544418275356,1.0453658778440065e-05,2025-09-27T15:01:52.482188,0.15679668580002423
41,1394,0.0034298417158424854,8.705767687650222e-06,2025-09-27T15:02:02.086903,0.16004739378337643
42,1428,0.0029512287583202124,7.122819337828748e-06,2025-09-27T15:02:11.570945,0.1580288966166942
43,1462,0.0029747376684099436,5.711060902932022e-06,2025-09-27T15:02:19.355758,0.15899963173336193
44,1496,0.004709962755441666,4.476063948531549e-06,2025-09-27T15:02:28.903456,0.15909113434997077
45,1530,0.0020754875149577856,3.4227024433899053e-06,2025-09-27T15:02:38.460996,0.1592670519166859
46,1564,0.0045140935108065605,2.5551335241327686e-06,2025-09-27T15:02:48.082664,0.16033423030003177
47,1598,0.002452801214531064,1.8767810889299176e-06,2025-09-27T15:02:55.889383,0.15955307479998737
48,1632,0.002384271239861846,1.390322284933352e-06,2025-09-27T15:03:05.586876,0.1616020643333589
49,1666,0.005277419928461313,1.0976769428005583e-06,2025-09-27T15:03:15.188319,0.15999277024996747
50,1700,0.0044806175865232944,1e-06,2025-09-27T15:03:23.094026,0.161401411466674
