epoch,step,loss,lr,timestamp,training_time_mins
1,34,2.3698776,9.990232305719939e-05,2025-09-27T10:00:01.586973,0.49011508078333466
2,68,0.7222656,9.960967771506663e-05,2025-09-27T10:00:22.823846,0.21386847338333154
3,102,0.70247585,9.912321891107001e-05,2025-09-27T10:00:35.528225,0.21169154986666097
4,136,0.71513534,9.844486647586714e-05,2025-09-27T10:00:50.057906,0.2123240798833346
5,170,0.6765044,9.757729755661e-05,2025-09-27T10:01:04.083228,0.215562072900002
6,204,0.6180179,9.652393605146831e-05,2025-09-27T10:01:18.065890,0.2105078811833361
7,238,0.5414605,9.528893909706784e-05,2025-09-27T10:01:29.949536,0.21167745135000285
8,272,0.45161736,9.387718066217109e-05,2025-09-27T10:01:42.625975,0.21123404051666814
9,306,0.35235566,9.229423231234955e-05,2025-09-27T10:01:56.152088,0.21290509553332412
10,340,0.26909825,9.05463412215597e-05,2025-09-27T10:02:08.892804,0.21228734759999193
11,374,0.20575902,8.864040551740132e-05,2025-09-27T10:02:23.252278,0.23929708531666924
12,408,0.15301259,8.658394705735965e-05,2025-09-27T10:02:36.399714,0.23330936233332977
13,442,0.12735131,8.438508174346992e-05,2025-09-27T10:02:50.653364,0.23751061676666724
14,476,0.09819478,8.205248749255997e-05,2025-09-27T10:03:03.557813,0.22916704711666777
15,510,0.0767636,7.959536998847726e-05,2025-09-27T10:03:17.519733,0.23265805644999393
16,544,0.07128612,7.702342635146016e-05,2025-09-27T10:03:31.331270,0.23014839145001437
17,578,0.062557094,7.434680686803477e-05,2025-09-27T10:03:47.133098,0.24717011086666693
18,612,0.045767717,7.157607493247093e-05,2025-09-27T10:04:01.022665,0.23145659626667717
19,646,0.053938303,6.872216535789138e-05,2025-09-27T10:04:15.677826,0.2573790578833268
20,680,0.04542555,6.57963412215597e-05,2025-09-27T10:04:29.710204,0.23382103478334101
21,714,0.04550027,6.281014941466015e-05,2025-09-27T10:04:42.790228,0.23125828020000275
22,748,0.02822682,5.977537507199321e-05,2025-09-27T10:04:56.821880,0.23381745653332472
23,782,0.02657994,5.670399506143291e-05,2025-09-27T10:05:10.106314,0.23486509416666196
24,816,0.022813428,5.360813071670086e-05,2025-09-27T10:05:24.126323,0.23364785011667663
25,850,0.026458912,5.049999999999986e-05,2025-09-27T10:05:38.540723,0.2402175475999987
26,884,0.022643313,4.7391869283298854e-05,2025-09-27T10:05:52.150272,0.2401115624499956
27,918,0.019778816,4.4296004938566826e-05,2025-09-27T10:06:06.682880,0.24217723906667743
28,952,0.013103746,4.122462492800652e-05,2025-09-27T10:06:20.130766,0.2384332278000026
29,986,0.013889499,3.818985058533959e-05,2025-09-27T10:06:34.095862,0.2327228055833378
30,1020,0.012502311,3.5203658778440024e-05,2025-09-27T10:06:47.219576,0.23258096206665566
31,1054,0.011975373,3.227783464210837e-05,2025-09-27T10:07:01.147072,0.23207508431666307
32,1088,0.005451922,2.9423925067528807e-05,2025-09-27T10:07:14.359800,0.2338781203333383
33,1122,0.007380575,2.6653193131964994e-05,2025-09-27T10:07:28.420876,0.23430236821665554
34,1156,0.011641227,2.3976573648539602e-05,2025-09-27T10:07:42.708985,0.23809260255000783
35,1190,0.007808844,2.140463001152252e-05,2025-09-27T10:07:56.136241,0.2376693664166699
36,1224,0.00714816,1.8947512507439797e-05,2025-09-27T10:08:10.253545,0.23525012789999286
37,1258,0.0077685495,1.661491825652986e-05,2025-09-27T10:08:23.820290,0.23994907556666475
38,1292,0.0046285647,1.4416052942640086e-05,2025-09-27T10:08:37.994641,0.2362132982833373
39,1326,0.0044633113,1.2359594482598388e-05,2025-09-27T10:08:51.352588,0.23701019439999982
40,1360,0.0034050068,1.0453658778440065e-05,2025-09-27T10:09:05.646463,0.23818620645000313
41,1394,0.0039070845,8.705767687650222e-06,2025-09-27T10:09:19.745826,0.23494108866666466
42,1428,0.00345253,7.122819337828748e-06,2025-09-27T10:09:33.020104,0.23542528084999503
43,1462,0.00498339,5.711060902932022e-06,2025-09-27T10:09:47.193798,0.23618565428332658
44,1496,0.0033747284,4.476063948531549e-06,2025-09-27T10:10:00.558474,0.23625839954999417
45,1530,0.0018842722,3.4227024433899053e-06,2025-09-27T10:10:14.826503,0.23773983966668008
46,1564,0.004696708,2.5551335241327686e-06,2025-09-27T10:10:28.236864,0.2372000750666757
47,1598,0.0043519796,1.8767810889299176e-06,2025-09-27T10:10:41.681470,0.22404732055000143
48,1632,0.0035897028,1.390322284933352e-06,2025-09-27T10:10:54.718832,0.2311526831999951
49,1666,0.0024284476,1.0976769428005583e-06,2025-09-27T10:11:08.814045,0.23485739348332876
50,1700,0.002785604,1e-06,2025-09-27T10:11:22.957228,0.23564228230000783
