epoch,step,loss,lr,timestamp,training_time_mins
1,34,2.5737509727478027,9.990232305719939e-05,2025-09-27T10:21:06.906056,0.3280642090999966
2,68,0.7473720908164978,9.960967771506663e-05,2025-09-27T10:21:22.182462,0.19633498709999914
3,102,0.7089583873748779,9.912321891107001e-05,2025-09-27T10:21:35.539164,0.1850352029666586
4,136,0.684612512588501,9.844486647586714e-05,2025-09-27T10:21:48.072143,0.18338337729999996
5,170,0.6384429335594177,9.757729755661e-05,2025-09-27T10:22:00.998399,0.18346822150000056
6,204,0.5559149384498596,9.652393605146831e-05,2025-09-27T10:22:13.054807,0.20091063485000024
7,238,0.44600436091423035,9.528893909706784e-05,2025-09-27T10:22:24.304441,0.20140698413333666
8,272,0.34910035133361816,9.387718066217109e-05,2025-09-27T10:22:36.235890,0.19882890033333447
9,306,0.2562996447086334,9.229423231234955e-05,2025-09-27T10:22:49.429425,0.20318966866666416
10,340,0.17777228355407715,9.05463412215597e-05,2025-09-27T10:23:01.672263,0.2040077345333278
11,374,0.12393637001514435,8.864040551740132e-05,2025-09-27T10:23:13.765060,0.2014987372833275
12,408,0.08705897629261017,8.658394705735965e-05,2025-09-27T10:23:26.451212,0.19687422748332514
13,442,0.1075282096862793,8.438508174346992e-05,2025-09-27T10:23:38.736367,0.20469701731667556
14,476,0.08271008729934692,8.205248749255997e-05,2025-09-27T10:23:50.034375,0.20263917334999254
15,510,0.05868808180093765,7.959536998847726e-05,2025-09-27T10:24:02.171667,0.20224131973333595
16,544,0.04009589925408363,7.702342635146016e-05,2025-09-27T10:24:14.377067,0.20338036584998917
17,578,0.05198293551802635,7.434680686803477e-05,2025-09-27T10:24:25.620038,0.20106096593332648
18,612,0.045920103788375854,7.157607493247093e-05,2025-09-27T10:24:37.705108,0.20139326364998547
19,646,0.03721398487687111,6.872216535789138e-05,2025-09-27T10:24:49.732560,0.20041982435000136
20,680,0.034926533699035645,6.57963412215597e-05,2025-09-27T10:25:00.957748,0.20089693138332526
21,714,0.03390403836965561,6.281014941466015e-05,2025-09-27T10:25:12.977070,0.2002824139500111
22,748,0.022687474265694618,5.977537507199321e-05,2025-09-27T10:25:24.225092,0.20120603860000302
23,782,0.019115472212433815,5.670399506143291e-05,2025-09-27T10:25:36.300962,0.20121807133332367
24,816,0.018434112891554832,5.360813071670086e-05,2025-09-27T10:25:48.471776,0.2027580033833298
25,850,0.015705235302448273,5.049999999999986e-05,2025-09-27T10:25:59.841893,0.20302321405000232
26,884,0.014264080673456192,4.7391869283298854e-05,2025-09-27T10:26:12.065312,0.20368068149999394
27,918,0.012635615654289722,4.4296004938566826e-05,2025-09-27T10:26:24.106487,0.2006460724999973
28,952,0.012197844684123993,4.122462492800652e-05,2025-09-27T10:26:35.361737,0.20118821578333457
29,986,0.009506884030997753,3.818985058533959e-05,2025-09-27T10:26:47.336664,0.19954321114999704
30,1020,0.009089317172765732,3.5203658778440024e-05,2025-09-27T10:26:58.825805,0.20579250493333348
31,1054,0.006154162343591452,3.227783464210837e-05,2025-09-27T10:27:11.055426,0.20376128468333263
32,1088,0.009038128890097141,2.9423925067528807e-05,2025-09-27T10:27:23.073292,0.20025998246666557
33,1122,0.007852388545870781,2.6653193131964994e-05,2025-09-27T10:27:34.357336,0.20183436288334633
34,1156,0.005010928492993116,2.3976573648539602e-05,2025-09-27T10:27:46.494316,0.20223589904999245
35,1190,0.0020456670317798853,2.140463001152252e-05,2025-09-27T10:27:58.684953,0.20312876789998882
36,1224,0.0028213488403707743,1.8947512507439797e-05,2025-09-27T10:28:08.947821,0.18531558161666908
37,1258,0.0022414512932300568,1.661491825652986e-05,2025-09-27T10:28:20.870858,0.1986875598166686
38,1292,0.003346851794049144,1.4416052942640086e-05,2025-09-27T10:28:33.018045,0.2024058033000074
39,1326,0.003158664796501398,1.2359594482598388e-05,2025-09-27T10:28:44.255960,0.20205667746666525
40,1360,0.00185269839130342,1.0453658778440065e-05,2025-09-27T10:28:56.467358,0.20349325061667212
41,1394,0.0027301206719130278,8.705767687650222e-06,2025-09-27T10:29:07.704413,0.2018855651166632
42,1428,0.0034449889790266752,7.122819337828748e-06,2025-09-27T10:29:19.811456,0.20174763414999386
43,1462,0.0017693177796900272,5.711060902932022e-06,2025-09-27T10:29:31.947431,0.20221554325000093
44,1496,0.0021481458097696304,4.476063948531549e-06,2025-09-27T10:29:43.099359,0.2002651668833399
45,1530,0.003356322878971696,3.4227024433899053e-06,2025-09-27T10:29:55.244677,0.20237556153333572
46,1564,0.002328510396182537,2.5551335241327686e-06,2025-09-27T10:30:07.451462,0.20340430449999378
47,1598,0.0027553257532417774,1.8767810889299176e-06,2025-09-27T10:30:18.786730,0.20285692168332994
48,1632,0.0032572601921856403,1.390322284933352e-06,2025-09-27T10:30:30.891477,0.20170778591667235
49,1666,0.0026959837414324284,1.0976769428005583e-06,2025-09-27T10:30:42.024405,0.19947759468333667
50,1700,0.002572575118392706,1e-06,2025-09-27T10:30:54.139348,0.20187482964999315
